2017-01-16 13:43:15 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:12

2017-01-16 13:43:20 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:12

2017-01-16 13:43:25 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:12

2017-01-16 13:43:30 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:17

2017-01-16 13:43:35 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:22

2017-01-16 13:43:40 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:27

2017-01-16 13:43:45 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:32

2017-01-16 13:43:50 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:37

2017-01-16 13:43:55 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:42

2017-01-16 13:44:00 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:47

2017-01-16 13:44:05 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:52

2017-01-16 13:44:10 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:43:57

2017-01-16 13:44:15 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:02

2017-01-16 13:44:20 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:07

2017-01-16 13:44:25 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:12

2017-01-16 13:44:30 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:17

2017-01-16 13:44:35 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:22

2017-01-16 13:44:40 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:27

2017-01-16 13:44:45 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:32

2017-01-16 13:44:50 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:37

2017-01-16 13:44:55 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:42

2017-01-16 13:45:00 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:47

2017-01-16 13:45:05 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:52

2017-01-16 13:45:10 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:44:57

2017-01-16 13:45:15 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:02

2017-01-16 13:45:20 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:07

2017-01-16 13:45:25 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:12

2017-01-16 13:45:30 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:17

2017-01-16 13:45:35 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:22

2017-01-16 13:45:40 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:27

2017-01-16 13:45:45 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:32

2017-01-16 13:45:50 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:37

2017-01-16 13:45:55 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:42

2017-01-16 13:46:00 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:47

2017-01-16 13:46:05 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:52

2017-01-16 13:46:10 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:45:57

2017-01-16 13:46:15 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:02

2017-01-16 13:46:20 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:07

2017-01-16 13:46:25 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:12

2017-01-16 13:46:30 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:17

2017-01-16 13:46:35 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:22

2017-01-16 13:46:40 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:27

2017-01-16 13:46:45 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:32

2017-01-16 13:46:50 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:37

2017-01-16 13:46:55 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:42

2017-01-16 13:47:00 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:05 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:10 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:15 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:20 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:25 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:30 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:35 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:40 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:45 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:50 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:47:55 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:48:00 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:48:05 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:48:10 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:46:47

2017-01-16 13:49:08 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:05

2017-01-16 13:49:13 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:05

2017-01-16 13:49:18 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:06

2017-01-16 13:49:23 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:10

2017-01-16 13:49:28 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:15

2017-01-16 13:49:33 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:20

2017-01-16 13:49:38 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:25

2017-01-16 13:49:43 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 13:49:30

2017-01-16 14:04:47 [DBG] [socketserver.go:70] [haina.im/monitor/monitor_centre/protocol.(*SocketServer).Echo] Can't receive
2017-01-16 14:04:47 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:36

2017-01-16 14:04:52 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:51

2017-01-16 14:04:57 [ERR] [centre.go:24] [main.main] 错误码：40002; 错误级别：3; 错误信息：内存使用率超出预设范围 --时间：2017-01-16 14:04:51

